,Location,subdomain,technology,Main_Domain_Server_Response
387,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",services.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
389,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",commerceplus.shopify.com,"['HTTP/3', 'Next.js', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",beta.help.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",docs.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",help.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",newhelp.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",pin.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",pins.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",wiki.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
393,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",consultant-launch.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
394,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",intern-launch.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
397,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sl.shopify.com,['HSTS'],
399,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",polaris-storybook.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
401,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",unicorn.shopify.com,"['Java', 'Nginx', 'HSTS']",
401,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",vault.shopify.com,"['Java', 'Nginx', 'HSTS']",
403,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",presto.data.shopify.com,['HSTS'],
405,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ecommerce.shopify.com,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
405,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",forums.shopify.com,"['Apache', 'Amazon Cloudfront', 'HSTS', 'Amazon ALB', 'Lithium']",
405,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",login.community.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Stimulus', 'Cloudflare Network Error Logging', 'Cloudflare']",
407,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",smiley.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
409,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",180.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Google Font API', 'Cloudflare Network Error Logging', 'Cloudflare']",
411,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",beastmodeabusiness.shopify.com,"['Shopify', 'HTTP/3', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
557,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",shop.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
1099,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",newsletter.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
1123,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",open.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
1125,"C=US, ST=CA, L=San Francisco, O=""CloudFlare, Inc."", CN=CloudFlare Inc ECC CA-2",c.email.plus.shopify.com,"['Cloudflare Bot Management', 'Cloudflare']",
1128,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",canada.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
1156,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",community-stage.shopify.com,"['Apache', 'Amazon Cloudfront', 'HSTS', 'Basic', 'Amazon ALB']",
1179,"C=US, O=Amazon, OU=Server CA 1B, CN=Amazon",unite-registration.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
1226,"C=US, ST=CA, L=San Francisco, O=""CloudFlare, Inc."", CN=CloudFlare Inc ECC CA-2",app.shopify.com,"['Shopify', 'HTTP/3', 'Ruby on Rails', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
1544,"C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA",ux.shopify.com,"['Envoy', 'OpenResty', 'Algolia', 'Medium', 'PayPal']",
1544,"C=GB, ST=Greater Manchester, L=Salford, O=Sectigo Limited, CN=Sectigo RSA Domain Validation Secure Server CA",www.ux.shopify.com,Not Reachable,
1605,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",rb.shopify.com,Not Reachable,
1620,"C=US, ST=CA, L=San Francisco, O=""CloudFlare, Inc."", CN=CloudFlare Inc ECC CA-2",bogdan.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
1730,"C=US, ST=CA, L=San Francisco, O=""CloudFlare, Inc."", CN=CloudFlare Inc ECC CA-2",enterprise.plus.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
1893,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",polaris-v2.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",br.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.au,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.cn,"['HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.co,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.hk,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.mx,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.ng,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.ph,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",shopify.com.sg,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'HSTS']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.au,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.cn,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.co,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.hk,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.mx,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.ng,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.ph,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 Extended Validation Server CA",www.shopify.com.sg,"['Shopify', 'HTTP/3', 'Express', 'HSTS', 'Cloudflare Network Error Logging', 'Cloudflare']",
2187,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",cselb.cs.shopify.com,Not Reachable,
2187,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",us-east-1-cselb.cs.shopify.com,Not Reachable,
2187,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",us-west-2-cselb.cs.shopify.com,Not Reachable,
2245,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",security.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2247,"C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA",site.email.shopify.com,[],
2264,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",tableau-dev.data.shopify.com,Not Reachable,
2269,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",jackistesting.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2279,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",tim-exclusive.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2289,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",investors.shopify.com,"['Microsoft ASP.NET', 'Cloudflare', 'HSTS']",
2452,"C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA",image.email.shopify.com,['Akamai Bot Manager'],
2499,"C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA",view.email.shopify.com,[],
2518,"C=US, O=DigiCert Inc, CN=DigiCert SHA2 Secure Server CA",click.email.shopify.com,[],
2627,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Domain Validation Secure Server CA",partner-training.shopify.com,"['HTTP/3', 'Ruby on Rails', 'HSTS', 'Stimulus', 'Cloudflare Network Error Logging', 'Cloudflare']",
2627,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Domain Validation Secure Server CA",www.partner-training.shopify.com,Not Reachable,
2666,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Domain Validation Secure Server CA",academy.shopify.com,"['HTTP/3', 'HSTS', 'React', 'Cloudflare Network Error Logging', 'Cloudflare']",
2666,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Domain Validation Secure Server CA",www.academy.shopify.com,Not Reachable,
2690,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign CloudSSL CA - SHA256 - G3",dk.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2723,"C=BE, O=GlobalSign nv-sa, CN=AlphaSSL CA - SHA256 - G2",summit2018.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2736,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",competition.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2741,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",exchange-staging.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2755,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",cs.staging.shopify.com,['Cloudflare'],
2867,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",wholesale.shopify.com.au,"['Alpine.js', 'Google Tag Manager', 'HSTS', 'Netlify']",
2867,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",wholesale.shopify.com.ng,"['Alpine.js', 'Google Tag Manager', 'HSTS', 'Netlify']",
2867,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",wholesale.shopify.com.ph,Not Reachable,
2867,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",wholesale.shopify.com.sg,"['Alpine.js', 'Google Tag Manager', 'HSTS', 'Netlify']",
2906,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",hiringtour.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2942,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",funny.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
2953,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",community.shopify.com,"['Apache', 'Amazon Cloudfront', 'HSTS', 'Amazon ALB', 'Lithium']",
3029,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",s.ssl.shopify.com,['Cloudflare'],
3030,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",r.ssl.shopify.com,['Cloudflare'],
3031,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",q.ssl.shopify.com,['Cloudflare'],
3032,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",j.ssl.shopify.com,['Cloudflare'],
3034,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",i.ssl.shopify.com,['Cloudflare'],
3036,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",p.ssl.shopify.com,['Cloudflare'],
3039,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",o.ssl.shopify.com,['Cloudflare'],
3076,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",console1.mgmt.toronto.shopify.com,Not Reachable,
3076,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",console1.toronto.shopify.com,Not Reachable,
3076,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",oob.toronto.shopify.com,Not Reachable,
3076,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",toronto.shopify.com,Not Reachable,
3220,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",eurotour.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
3221,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",galway.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
3309,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",david.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
3328,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",q2.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
3835,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",c.ssl.shopify.com,['Cloudflare'],
3893,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",dwellinghaven.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
3922,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",l.ssl.shopify.com,['Cloudflare'],
3941,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",damian-znc.ec2.shopify.com,['Cloudflare'],
3978,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sound-pro-tech.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4040,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",doggocorp.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4041,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",kafka-staging01.ec2.shopify.com,['Cloudflare'],
4054,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",scroll.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4054,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",thescroll.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4147,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",cs.shopify.com,Not Reachable,
4164,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",authme.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4165,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",nexus.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4179,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",arb.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4182,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",k.ssl.shopify.com,['Cloudflare'],
4198,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",somethingorother.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4204,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",h.ssl.shopify.com,['Cloudflare'],
4324,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",boukeisdope.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4360,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",kevin-testing.ec2.shopify.com,['Cloudflare'],
4377,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",e.ssl.shopify.com,['Cloudflare'],
4385,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Domain Validation CA - SHA256 - G3",internalhardwarerental.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4390,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",kiersten.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4391,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",khanbot.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4395,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",locality.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4396,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sunwd.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4397,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",store.smarter-tv.shopify.com,['Cloudflare'],
4400,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",gurulandia.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4401,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",tmt.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4402,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",shane.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4403,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",catherineisawesome.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4404,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",flexcatherine.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4405,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",shanestest.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4407,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",3littlemaids.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4408,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",shanetoole.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4409,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",catherinefivepillars.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4410,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",lifehacks.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4414,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert SHA2 High Assurance Server CA",n.ssl.shopify.com,['Cloudflare'],
4415,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",datura.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4416,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",weareopen.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4417,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",flwca.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4420,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ihatewhatever.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4428,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",irl.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4430,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sugarpack.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4432,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",ready4guruland.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4433,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",colourdecoded.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4434,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",catherineomc.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4435,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.smarter-tv.shopify.com,['Cloudflare'],
4436,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",sonr.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4437,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",webinar-sept-30.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4438,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",twominutetutorials.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4442,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",designisfun.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4443,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",afterhours.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4444,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",daynext.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4446,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",windsor.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4447,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",aisling.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4448,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",theluxurystore.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4449,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",torontoretailtour.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
4452,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",shopify-plus-meet-up.shopify.com,"['Cloudflare Network Error Logging', 'HTTP/3', 'Cloudflare', 'Shopify']",
